4 15  16 -12.865846 -941.496602
4 15  17 -13.891406 -876.454671
4 15  18 -11.359355 -1004.320931
4 15  19 -10.319203 -963.612151
4 15  20 -14.728895 -1030.878730
4 16  17 -17.141543 -1155.178073
4 16  18 -23.690517 -1283.044334
4 16  19 -20.332197 -1242.335553
4 16  20 -27.506461 -1309.602132
4 17  18 -16.092882 -1218.002402
4 17  19 -16.254174 -1177.293622
4 17  20 -26.166676 -1244.560201
4 18  19 -23.943784 -1305.159883
4 18  20 -23.014421 -1372.426462
4 19  20 -26.155814 -1331.717681
5  -45.000000 0.000000
5 1 -33.511489 -495.339432
5 2 -13.919574 -0.397053
5 3 -35.764399 -709.468982
5 4 -32.557287 -410.949650
5 6 -36.552248 -641.579124
5 7 -28.613245 -354.884141
5 8 -28.801059 -504.897394
5 9 -27.916869 -242.581361
5 10 -35.118795 -523.329425
5 11 -15.091418 -0.055471
5 12 -27.181747 -1.395896
5 13 -39.421669 -Inf
5 14 -43.549639 -643.868050
5 15 -37.420947 -597.569232
5 16 -35.940799 -570.414074
5 17 -29.018497 -212.442794
5 18 -35.846351 -563.910100
5 19 -39.468647 -Inf
5 20 -41.909892 -505.269869
5 1  2 -11.434986 -495.736485
5 1  3 -19.869235 -1204.808415
5 1  4 -25.390512 -906.289083
5 1  6 -25.240445 -1136.918556
5 1  7 -24.302034 -850.223574
5 1  8 -24.480509 -1000.236826
5 1  9 -21.070051 -737.920793
5 1  10 -23.376555 -1018.668858
5 1  11 -3.444117 -495.394903
5 1  12 -19.562383 -496.735328
5 1  13 -28.397927 -Inf
5 1  14 -27.803934 -1139.207483
5 1  15 -30.588470 -1092.908665
