3 13  16 -51.550204 -1219.078953
3 13  17 -42.544049 -1337.157457
3 13  18 -52.631928 -Inf
3 13  19 -56.967375 -1244.143818
3 13  20 -55.723963 -Inf
3 14  15 -39.388730 -Inf
3 14  16 -51.743674 -1234.084571
3 14  17 -38.602151 -1352.163074
3 14  18 -49.778778 -Inf
3 14  19 -48.814108 -1259.149436
3 14  20 -51.002298 -Inf
3 15  16 -53.376142 -Inf
3 15  17 -47.896815 -Inf
3 15  18 -53.221372 -Inf
3 15  19 -48.230847 -Inf
3 15  20 -54.891631 -Inf
3 16  17 -51.090432 -1339.388229
3 16  18 -58.752854 -Inf
3 16  19 -53.258686 -1246.374591
3 16  20 -66.863659 -Inf
3 17  18 -50.107685 -Inf
3 17  19 -45.562008 -1364.453094
3 17  20 -54.156130 -Inf
3 18  19 -55.690587 -Inf
3 18  20 -62.214551 -Inf
3 19  20 -57.975850 -Inf
4  -94.000000 0.000000
4 1 -37.715320 -Inf
4 2 -30.262285 -401.555862
4 3 -57.604337 -Inf
4 5 -86.074390 -Inf
4 6 -50.554793 -Inf
4 7 -64.247206 -621.216045
4 8 -36.323721 -480.186037
4 9 -83.530965 -Inf
4 10 -57.507288 -Inf
4 11 -69.654109 -Inf
4 12 -52.653879 -Inf
4 13 -54.489978 -Inf
4 14 -66.916434 -636.831085
4 15 -36.874171 -572.619525
4 16 -78.689324 -Inf
4 17 -54.366120 -Inf
4 18 -54.428250 -Inf
4 19 -55.636898 -Inf
4 20 -79.312493 -Inf
4 1  2 -27.147841 -Inf
4 1  3 -28.195842 -Inf
4 1  5 -31.887475 -Inf
4 1  6 -25.506937 -Inf
4 1  7 -32.892006 -Inf
4 1  8 -22.511092 -Inf
4 1  9 -28.509608 -Inf
4 1  10 -28.226112 -Inf
4 1  11 -25.015037 -Inf
4 1  12 -26.953402 -Inf
4 1  13 -25.297204 -Inf
4 1  14 -30.452531 -Inf
4 1  15 -25.216716 -Inf
4 1  16 -29.597377 -Inf
4 1  17 -25.920820 -Inf
4 1  18 -27.920691 -Inf
4 1  19 -26.104919 -Inf
4 1  20 -30.744283 -Inf
4 2  3 -27.866635 -Inf
4 2  5 -25.204759 -Inf
4 2  6 -24.440588 -Inf
4 2  7 -24.993174 -1022.771907
4 2  8 -25.676366 -881.741899
4 2  9 -28.152382 -Inf
4 2  10 -25.357331 -Inf
4 2  11 -20.580470 -Inf
4 2  12 -25.780730 -Inf
4 2  13 -25.241135 -Inf
4 2  14 -23.515596 -1038.386947
4 2  15 -26.554790 -974.175387
4 2  16 -24.873990 -Inf
4 2  17 -25.165326 -Inf
4 2  18 -25.629042 -Inf
4 2  19 -25.884920 -Inf
4 2  20 -24.179548 -Inf
4 3  5 -44.427176 -Inf
4 3  6 -41.246626 -Inf
4 3  7 -37.669006 -Inf
4 3  8 -28.226597 -Inf
4 3  9 -30.998805 -Inf
4 3  10 -49.549891 -Inf
4 3  11 -44.562882 -Inf
4 3  12 -42.198031 -Inf
4 3  13 -43.241899 -Inf
4 3  14 -44.367927 -Inf
4 3  15 -29.341798 -Inf
4 3  16 -48.749883 -Inf
4 3  17 -44.563994 -Inf
4 3  18 -42.818781 -Inf
4 3  19 -45.082708 -Inf
4 3  20 -48.077159 -Inf
4 5  6 -45.495157 -Inf
4 5  7 -57.038818 -Inf
4 5  8 -28.454201 -Inf
4 5  9 -70.079413 -Inf
4 5  10 -46.384327 -Inf
4 5  11 -20.405178 -Inf
4 5  12 -48.586269 -Inf
4 5  13 -46.695813 -Inf
4 5  14 -53.752875 -Inf
4 5  15 -30.654842 -Inf
4 5  16 -64.937274 -Inf
4 5  17 -32.522473 -Inf
4 5  18 -47.982277 -Inf
4 5  19 -48.112336 -Inf
4 5  20 -63.589327 -Inf
4 6  7 -39.526802 -Inf
4 6  8 -29.745539 -Inf
4 6  9 -44.490448 -Inf
4 6  10 -47.447873 -Inf
4 6  11 -38.554809 -Inf
4 6  12 -45.208513 -Inf
4 6  13 -46.285011 -Inf
4 6  14 -40.763533 -Inf
4 6  15 -29.964671 -Inf
4 6  16 -47.275094 -Inf
4 6  17 -35.622482 -Inf
4 6  18 -46.863478 -Inf
4 6  19 -48.119440 -Inf
4 6  20 -42.215777 -Inf
4 7  8 -31.486178 -1101.402081
4 7  9 -49.886953 -Inf
4 7  10 -38.347992 -Inf
4 7  11 -34.282077 -Inf
4 7  12 -39.533839 -Inf
4 7  13 -40.537899 -Inf
4 7  14 -39.098166 -1258.047129
4 7  15 -32.243481 -1193.835569
4 7  16 -56.407084 -Inf
4 7  17 -32.724319 -Inf
4 7  18 -40.808871 -Inf
4 7  19 -42.158092 -Inf
4 7  20 -49.950847 -Inf
