1  -83.000000 0.000000
2 5  6 -12.487188 -884.251842
2 5  7 -16.311353 -487.726679
2 5  8 -24.798531 -1091.844521
2 5  9 -21.364338 -1078.388245
2 5  10 -12.782608 -892.180693
2 5  11 -30.739552 -1143.173332
2 5  12 -19.993776 -Inf
2 5  13 -30.478493 -Inf
2 5  14 -19.225749 -678.917542
2 5  15 -26.031700 -Inf
2 5  16 -29.700576 -Inf
2 5  17 -21.089973 -Inf
2 5  18 -21.227724 -1017.490864
2 5  19 -31.791355 -Inf
2 5  20 -26.889005 -Inf
2 6  7 -12.467207 -396.606267
2 6  8 -15.919734 -1000.724109
2 6  9 -16.449492 -987.267833
2 6  10 -18.388956 -801.060281
2 6  11 -14.855306 -1052.052920
2 6  12 -16.419024 -Inf
2 6  13 -21.346868 -Inf
2 6  14 -14.895887 -587.797130
2 6  15 -20.029111 -Inf
2 6  16 -19.925822 -Inf
2 6  17 -15.215060 -Inf
2 6  18 -17.320934 -926.370452
2 6  19 -21.210561 -Inf
2 6  20 -18.673229 -Inf
2 7  8 -19.471007 -604.198946
2 7  9 -17.603459 -590.742670
2 7  10 -13.052115 -404.535118
2 7  11 -19.208970 -655.527756
2 7  12 -13.674368 -Inf
2 7  13 -19.057162 -Inf
2 7  14 -19.550445 -191.271967
2 7  15 -20.491803 -Inf
2 7  16 -17.026000 -Inf
2 7  17 -13.397911 -Inf
2 7  18 -15.444984 -529.845289
2 7  19 -18.504948 -Inf
2 7  20 -22.386473 -Inf
2 8  9 -45.661270 -1194.860512
2 8  10 -14.929391 -1008.652960
2 8  11 -29.318714 -1259.645598
2 8  12 -16.315764 -Inf
2 8  13 -36.750792 -Inf
2 8  14 -24.100690 -795.389808
2 8  15 -49.232451 -Inf
2 8  16 -31.294523 -Inf
2 8  17 -17.341624 -Inf
2 8  18 -34.263665 -1133.963131
2 8  19 -35.206786 -Inf
2 8  20 -40.423537 -Inf
2 9  10 -18.023380 -995.196684
2 9  11 -30.917386 -1246.189323
2 9  12 -17.983729 -Inf
2 9  13 -38.377577 -Inf
2 9  14 -22.143155 -781.933533
2 9  15 -44.753582 -Inf
2 9  16 -30.652365 -Inf
2 9  17 -19.071230 -Inf
2 9  18 -44.876693 -1120.506855
2 9  19 -37.018937 -Inf
2 9  20 -39.559888 -Inf
2 10  11 -14.279558 -1059.981771
2 10  12 -14.103436 -Inf
2 10  13 -18.642972 -Inf
2 10  14 -14.539934 -595.725981
2 10  15 -18.850627 -Inf
2 10  16 -21.726060 -Inf
2 10  17 -12.874945 -Inf
2 10  18 -14.074792 -934.299303
2 10  19 -19.425492 -Inf
2 10  20 -18.995543 -Inf
2 11  12 -19.670442 -Inf
2 11  13 -32.128507 -Inf
2 11  14 -21.453081 -846.718619
2 11  15 -32.264742 -Inf
2 11  16 -28.068854 -Inf
2 11  17 -20.553122 -Inf
2 11  18 -25.847149 -1185.291942
2 11  19 -32.982833 -Inf
2 11  20 -31.888503 -Inf
2 12  13 -18.542918 -Inf
2 12  14 -14.605826 -Inf
2 12  15 -19.348513 -Inf
2 12  16 -16.245654 -Inf
2 12  17 -20.618782 -Inf
2 12  18 -20.493860 -Inf
2 12  19 -18.841808 -Inf
2 12  20 -19.734411 -Inf
2 13  14 -26.272254 -Inf
2 13  15 -44.001053 -Inf
2 13  16 -45.472209 -Inf
2 13  17 -18.598834 -Inf
2 13  18 -47.253431 -Inf
2 13  19 -57.739048 -Inf
2 13  20 -36.363079 -Inf
2 14  15 -26.810040 -Inf
2 14  16 -22.278666 -Inf
2 14  17 -14.320466 -Inf
2 14  18 -23.216678 -721.036152
2 14  19 -26.090270 -Inf
2 14  20 -26.865872 -Inf
2 15  16 -40.140609 -Inf
2 15  17 -20.258144 -Inf
2 15  18 -37.049279 -Inf
2 15  19 -44.927480 -Inf
2 15  20 -43.173412 -Inf
2 16  17 -16.200104 -Inf
2 16  18 -28.292525 -Inf
2 16  19 -45.153758 -Inf
2 16  20 -31.626769 -Inf
2 17  18 -19.691618 -Inf
2 17  19 -18.628594 -Inf
2 17  20 -18.657539 -Inf
2 18  19 -47.497916 -Inf
2 18  20 -32.935766 -Inf
2 19  20 -36.718040 -Inf
3  -83.000000 0.000000
3 1 -67.265648 -Inf
3 2 -30.739122 -220.298009
3 4 -67.234857 -Inf
3 5 -60.565626 -Inf
3 6 -38.502483 -655.160183
3 7 -49.506841 -Inf
